seq_num,time,pil1mstats2,ssacurrent,pil1M_stats1_total,pil1M_image,pil300KW_stats1_total,pil300KW_image,pil1mstats3
598,2017-10-30 20:55:20.621447000,7315474.0,0.9046897888183595,5424552.0,4ed85fda-1f72-4395-91d9-538574e0ec98,14361010.0,c33b2ae7-9ed6-4aa8-8fb5-e373ccc3c469,133371555.0
599,2017-10-30 20:55:26.012446000,7301205.0,0.9045543670654297,5419555.0,aa89d45f-cf5b-45bf-9943-131c7fdb1f91,14356282.0,76bd59ba-9724-4558-9ce3-c1f6be78bdf2,133169054.0
600,2017-10-30 20:55:31.516074000,7319748.0,0.9000625610351562,5432347.0,f631809e-568e-4c65-87ff-b3a21055d3e1,14425579.0,ae32ef8c-7cd2-43e8-8e76-0a82fbfa2937,133528799.0
601,2017-10-30 20:55:37.058041000,7323922.0,0.9025726318359376,5441126.0,c60e4bb1-8204-41e2-88cf-5d8c401187b0,14386375.0,86d65473-0f88-443a-8ef8-21eb4380bfe5,133586145.0
602,2017-10-30 20:55:42.557313000,7325287.0,0.9009819030761719,5434702.0,5d5ca8e1-8cac-4eb7-b47c-cd93683c93bd,14360286.0,6441d925-1bc8-454e-8a45-ea814cb1815e,133590831.0
603,2017-10-30 20:55:47.960125000,7335770.0,0.9022960662841797,5439247.0,ee7dedd2-13f4-4a9a-9302-657b788db321,14406458.0,65666a2c-ed87-4453-a68f-ad2457aaaeb1,133704579.0
604,2017-10-30 20:55:53.523489000,7352090.0,0.9025955200195312,5453426.0,8afd03a1-1ad7-49ce-bb58-ded85ecac1f2,14410139.0,4cac46c1-6e36-4b68-8e3c-2b4974f5d3d6,133988354.0
605,2017-10-30 20:55:58.942938000,7341644.0,0.9025306701660156,5438392.0,deb7d014-0070-43a6-b698-2ec1544d3351,14415034.0,92152be3-1a40-4244-bc45-f5c64e992bae,133734615.0
606,2017-10-30 20:56:04.465431000,7341597.0,0.9030551910400391,5446575.0,e22262af-1b42-499f-8107-7ca6afc28773,14400473.0,7500fc91-cad9-4983-a41f-e74b4794d604,133880633.0
607,2017-10-30 20:56:09.850563000,7334893.0,0.9027366638183594,5437206.0,334452ec-fa30-4d5e-90c2-5a020a9f8872,14401485.0,eb55f850-6057-47cd-931c-74e1fdd9e9db,133747670.0
608,2017-10-30 20:56:15.252305999,7339486.0,0.9016990661621094,5445448.0,1ec3ad9e-7a9b-43b8-ba0c-572138cc9672,14388201.0,7f5a1f09-58d7-4783-9a5b-c32fd6109d61,133793689.0
609,2017-10-30 20:56:20.660485000,7342269.0,0.9009456634521485,5438763.0,ceb9e84b-1f67-43d4-b26e-52f3b6651cdb,14406105.0,8e49d06d-c8c9-4c33-a35c-ddcba60dcb3f,133797695.0
610,2017-10-30 20:56:26.057088000,7342421.0,0.9010753631591797,5441133.0,8e24f98d-af20-4542-88f2-62f6e905a988,14396900.0,c01e006a-3f8e-42bf-9393-84f221b01d10,133811263.0
611,2017-10-30 20:56:31.452776000,7351196.0,0.9024238586425782,5439186.0,048fa527-8939-4c42-9905-8f9fbaa23874,14384536.0,781981ad-2777-4260-b67c-cbae37b70b06,133904806.0
612,2017-10-30 20:56:36.855106000,7334008.0,0.9028816223144531,5428609.0,b85c2e00-e036-43fc-9389-915374db35e8,14389772.0,820b07bd-94b0-4e90-a96c-89bd5186ab83,133671919.0
613,2017-10-30 20:56:42.267521000,7327624.0,0.9024868011474609,5430840.0,55ac0477-5247-4a2c-bc5b-24524c3b471b,14382093.0,330b41e0-a08e-4c4e-bc22-324e144d98fc,133600678.0
614,2017-10-30 20:56:47.802502000,7343444.0,0.9049949645996094,5436965.0,2712621f-3446-42b8-a6fc-c0a1726bccd5,14376432.0,6d71165e-6eaa-4546-9b7c-4905f9567f78,133839885.0
615,2017-10-30 20:56:53.341970000,7333642.0,0.9035415649414064,5434986.0,72bb3be2-4cb5-43f2-94ad-c6fcd994f486,14377179.0,404671be-ec80-49a3-ae76-abc4c83ce894,133669043.0
616,2017-10-30 20:56:58.826057000,7329497.0,0.9029102325439453,5425010.0,b3a72f67-d799-45ba-bc0c-572f13de4124,14367325.0,360f7626-da41-45e2-b2f3-7666cd756991,133647551.0
617,2017-10-30 20:57:04.204252000,7326764.0,0.8998374938964846,5424692.0,ca562ad0-eaff-4cb9-b37e-62a3108cd2db,14364424.0,a2777d37-29b8-444e-a81c-9b13b63d68c5,133504465.0
618,2017-10-30 20:57:09.702458000,7323653.0,0.9016609191894531,5429130.0,a9318c44-3be8-4eb3-9b47-570a819f2071,14372807.0,30d708e7-033f-4b51-9a59-83c6073c45f7,133542029.0
619,2017-10-30 20:57:15.102917000,7330103.0,0.9043483734130859,5427966.0,2ea73b8b-a931-4713-849b-c94b343af261,14365199.0,ba09e90e-897f-45cb-995a-2c9756a53d4a,133630952.0
620,2017-10-30 20:57:20.605668000,7324074.0,0.9035224914550781,5428986.0,56f9484e-45d0-4557-a29d-289f677744ef,14355496.0,9a2020c0-f646-4a79-902d-bd2ffb034553,133521021.0
621,2017-10-30 20:57:26.088492000,7322140.0,0.9041690826416017,5423332.0,feb8a1e5-9520-4b43-b577-27ce202ead43,14347756.0,1e0e317f-2fd9-4ae7-b438-01073e3757bc,133512416.0
622,2017-10-30 20:57:31.483976000,7321856.0,0.9011402130126953,5423566.0,abddadfe-4f4c-456e-b4d3-69c91a9c1028,14352118.0,f6b298ac-d1a6-4f9d-8e1b-70933d8b080f,133503908.0
623,2017-10-30 20:57:36.981848000,7317005.0,0.9013233184814453,5423729.0,2a3fe4dd-aa81-4280-b74e-1a637f3cc579,14353243.0,28de15ef-135a-46e3-ba05-f49749b30464,133568849.0
624,2017-10-30 20:57:42.360220000,7312422.0,0.9022254943847656,5420653.0,ea6b7e24-01f0-46b7-9151-b58b9f965861,14354558.0,02027c56-3266-4b07-8edf-1cde8ce63845,133400134.0
625,2017-10-30 20:57:47.735708000,7323494.0,0.8992328643798828,5421881.0,fef26ca9-9459-44ed-9b78-0980eca4dabb,14344535.0,c53c083a-830e-4f01-bc14-f793e68fd516,133448078.0
626,2017-10-30 20:57:53.277772000,7341509.0,0.90289306640625,5439582.0,2a923173-464e-4697-a9db-2c3250414759,14387905.0,098037b7-4e66-4fa3-8a05-f7d4b3489476,133961757.0
627,2017-10-30 20:57:58.783570000,7354735.0,0.9015445709228517,5450766.0,b278c9a1-4aec-4082-a8c0-b5b4155f70ad,14401397.0,fd3f8cd4-2dbc-4302-8bfe-0127b2e50504,134134303.0
628,2017-10-30 20:58:04.174676000,7352284.0,0.9048347473144531,5445106.0,e3d73dca-cd59-4f19-b905-81acdc6a8323,14409198.0,7f65512f-4d77-458a-b187-b21ee9bc90b4,134096649.0
629,2017-10-30 20:58:09.689101000,7353634.0,0.9042797088623048,5444256.0,26cf56eb-9b93-432e-a627-f9bc1d007c1c,14408603.0,77662732-086d-45a3-8fe0-911d1e2b9440,134081726.0
630,2017-10-30 20:58:15.075412000,7354062.0,0.9013957977294922,5445681.0,fc819391-8edd-4511-81f1-802fcb992a46,14392497.0,123ce132-3e66-4651-a175-a024f3a48849,134139676.0
631,2017-10-30 20:58:20.459403000,7357621.0,0.9016551971435548,5445917.0,340e0ae6-3810-4c90-b2e0-9208bd8f0325,14404448.0,ef8e286b-6b52-4905-8b66-77feb463518e,134107040.0
632,2017-10-30 20:58:25.875433000,7346487.0,0.9035892486572266,5440637.0,0c9d0588-6bdc-4325-8483-f979e39a131a,14389399.0,aad1eb5b-8975-4281-96c0-45a767437062,134024898.0
633,2017-10-30 20:58:31.279104000,7350209.0,0.9042091369628906,5437268.0,3944e62e-aee9-446d-980a-bb30596ac063,14389069.0,f9cb61e3-9fa5-40e1-a5a0-75842c69e54e,134034005.0
634,2017-10-30 20:58:36.670914000,7339473.0,0.8997631072998047,5432697.0,2f66a40d-5fca-4052-b888-c35c6f7bae5c,14390795.0,63d99e60-b72c-41f0-855f-f6ed2b2d1dbc,133889099.0
635,2017-10-30 20:58:42.055784000,7340631.0,0.9027156829833984,5434202.0,4312724b-de55-4d17-a450-6892cc8e7beb,14377545.0,d974012e-aabe-4c37-802f-24e73484a0f4,133939039.0
636,2017-10-30 20:58:47.437342000,7337980.0,0.9029903411865237,5434161.0,a4d628c9-c8f8-4f92-8137-1a1a9ecae9b2,14391425.0,3ab82efb-3c02-4030-81fb-25ea1a324117,133883323.0
637,2017-10-30 20:58:52.820293000,7347553.0,0.8997249603271484,5437408.0,8d587933-a842-4d1c-b533-37ea76264068,14382673.0,e08be12e-88be-4a88-9eff-508f137809be,133945803.0
638,2017-10-30 20:58:58.213200000,7337940.0,0.8997879028320312,5431893.0,dd5d233e-2277-4706-8e19-4e31a462e337,14369234.0,fe6d0213-80d9-4a2f-b039-960cc3f16d22,133855227.0
639,2017-10-30 20:59:03.723470000,7346452.0,0.899282455444336,5433172.0,89cd3c47-51e7-4c96-b24b-28ee6ec597b7,14370560.0,eaf357be-0f0a-4505-b71d-a049fcc57d7a,133993711.0
640,2017-10-30 20:59:09.110316000,7342701.0,0.8993568420410156,5432587.0,051b433a-9fe4-4ef7-b464-5c930d5dcf0e,14370620.0,e2984f9b-94a3-4633-8c36-142ef9ca1ce7,133885995.0
641,2017-10-30 20:59:14.490577000,7347478.0,0.8990058898925781,5433719.0,d8f7a912-f142-4294-8c84-1aa78c7bfa29,14376793.0,86cbe5d1-24af-4641-a839-23ee1ba7e98f,134072514.0
642,2017-10-30 20:59:19.884581000,7334703.0,0.9024105072021484,5420353.0,beedc3ae-858f-4f08-a87d-3432630209d9,14374405.0,47a0bbb8-721f-44d5-95d1-aa68335563ce,133825712.0
643,2017-10-30 20:59:25.268527000,7332613.0,0.9008274078369142,5424163.0,bc78b014-236d-45ba-ae6b-68eb1b457de5,14366396.0,3a5e920e-cca9-4646-8dd6-ef88eb0c19c4,133823829.0
644,2017-10-30 20:59:30.659184000,7331236.0,0.8996963500976562,5426062.0,c875a5d7-1f42-4757-8f2b-9589f0329a9f,14366347.0,30a8be79-808f-44d1-82a7-a0071d9953b7,133799219.0
645,2017-10-30 20:59:36.177102000,7333685.0,0.8983879089355471,5423724.0,762ab0fb-e60e-4abd-ac58-d0ec6b293c25,14354335.0,1d3669cc-7b3c-46d1-8ee7-0dfea651a795,133898050.0
646,2017-10-30 20:59:41.558589000,7338397.0,0.9000453948974609,5422380.0,6a68f812-b45f-4717-b6f8-bef8dd2dbaa1,14348550.0,2651a7df-f480-465b-9604-ca62a5349998,133797855.0
647,2017-10-30 20:59:46.960319000,7332541.0,0.8970890045166016,5425278.0,3ac5e181-8617-428b-a10d-cfb9741f6e39,14364116.0,738693c4-5c77-4408-8de4-67664f574c9e,133829148.0
648,2017-10-30 20:59:52.377712000,7340884.0,0.8991413116455079,5433962.0,458cad0d-6b8c-4f19-8c98-6107453ebf76,14371274.0,97bac3e8-b046-4f86-94a1-a007f246300d,134021511.0
649,2017-10-30 20:59:57.761374000,7353548.0,0.9037647247314454,5433286.0,a97a31af-0ac1-43be-91e0-cc81b7796295,14385961.0,e2a59960-1697-4056-a7c2-1f2735fdde35,134119117.0
650,2017-10-30 21:00:03.284373000,7376604.0,0.9007225036621094,5457516.0,aa81dace-aefd-41a2-aed8-314ddc6caf31,14433405.0,4690ba5e-4fce-45b3-8d1f-85306e94479c,134617903.0
651,2017-10-30 21:00:08.670038000,7364245.0,0.9005165100097657,5445811.0,6d45c4f4-7f1b-49ae-98e4-0df511caafd8,14415414.0,f23549ef-943a-450a-869b-8d54438f2989,134436394.0
